keyword_asset_id,keyword,traffic_word_type,source_sheet,source_row,row_layout
kw_0036,car starter jump box,品牌广告词,5.关键词库,37,rich_top_asin_col33
kw_0036,car starter jump box,视频广告词,5.关键词库,37,rich_top_asin_col33
kw_0037,cargador de bateria de carro portatil,自然搜索词,5.关键词库,38,rich_top_asin_col33
kw_0038,booster pack,自然搜索词,5.关键词库,39,rich_top_asin_col33
kw_0038,booster pack,HR推荐词,5.关键词库,39,rich_top_asin_col33
kw_0038,booster pack,品牌广告词,5.关键词库,39,rich_top_asin_col33
kw_0038,booster pack,视频广告词,5.关键词库,39,rich_top_asin_col33
kw_0038,booster pack,SP广告词,5.关键词库,39,rich_top_asin_col33
kw_0039,arrancador de batería para auto,自然搜索词,5.关键词库,40,rich_top_asin_col33
kw_0039,arrancador de batería para auto,HR推荐词,5.关键词库,40,rich_top_asin_col33
kw_0039,arrancador de batería para auto,品牌广告词,5.关键词库,40,rich_top_asin_col33
kw_0039,arrancador de batería para auto,视频广告词,5.关键词库,40,rich_top_asin_col33
kw_0039,arrancador de batería para auto,SP广告词,5.关键词库,40,rich_top_asin_col33
kw_0040,car battery charger jump starter portable with air compressor,自然搜索词,5.关键词库,41,rich_top_asin_col33
kw_0040,car battery charger jump starter portable with air compressor,视频广告词,5.关键词库,41,rich_top_asin_col33
kw_0041,car battery jumper starter portable,自然搜索词,5.关键词库,42,rich_top_asin_col33
kw_0041,car battery jumper starter portable,品牌广告词,5.关键词库,42,rich_top_asin_col33
kw_0041,car battery jumper starter portable,视频广告词,5.关键词库,42,rich_top_asin_col33
kw_0041,car battery jumper starter portable,SP广告词,5.关键词库,42,rich_top_asin_col33
kw_0042,portable car battery charger and jump starter,自然搜索词,5.关键词库,43,rich_top_asin_col33
kw_0042,portable car battery charger and jump starter,品牌广告词,5.关键词库,43,rich_top_asin_col33
kw_0042,portable car battery charger and jump starter,视频广告词,5.关键词库,43,rich_top_asin_col33
kw_0042,portable car battery charger and jump starter,SP广告词,5.关键词库,43,rich_top_asin_col33
kw_0043,car jump starter portable,自然搜索词,5.关键词库,44,rich_top_asin_col33
kw_0043,car jump starter portable,HR推荐词,5.关键词库,44,rich_top_asin_col33
kw_0043,car jump starter portable,品牌广告词,5.关键词库,44,rich_top_asin_col33
kw_0043,car jump starter portable,视频广告词,5.关键词库,44,rich_top_asin_col33
kw_0043,car jump starter portable,SP广告词,5.关键词库,44,rich_top_asin_col33
kw_0044,portable car chargers & jump starter,自然搜索词,5.关键词库,45,rich_top_asin_col33
kw_0044,portable car chargers & jump starter,品牌广告词,5.关键词库,45,rich_top_asin_col33
kw_0044,portable car chargers & jump starter,视频广告词,5.关键词库,45,rich_top_asin_col33
kw_0044,portable car chargers & jump starter,SP广告词,5.关键词库,45,rich_top_asin_col33
kw_0045,2000a peak 20000mah car jump starter,自然搜索词,5.关键词库,46,rich_top_asin_col33
kw_0045,2000a peak 20000mah car jump starter,HR推荐词,5.关键词库,46,rich_top_asin_col33
kw_0046,portable battery charger for car,自然搜索词,5.关键词库,47,rich_top_asin_col33
kw_0046,portable battery charger for car,品牌广告词,5.关键词库,47,rich_top_asin_col33
kw_0047,jump starter power pack,自然搜索词,5.关键词库,48,rich_top_asin_col33
kw_0047,jump starter power pack,HR推荐词,5.关键词库,48,rich_top_asin_col33
kw_0047,jump starter power pack,品牌广告词,5.关键词库,48,rich_top_asin_col33
kw_0047,jump starter power pack,视频广告词,5.关键词库,48,rich_top_asin_col33
kw_0047,jump starter power pack,SP广告词,5.关键词库,48,rich_top_asin_col33
kw_0048,portable jumper cables,自然搜索词,5.关键词库,49,rich_top_asin_col33
kw_0048,portable jumper cables,HR推荐词,5.关键词库,49,rich_top_asin_col33
kw_0048,portable jumper cables,品牌广告词,5.关键词库,49,rich_top_asin_col33
kw_0048,portable jumper cables,视频广告词,5.关键词库,49,rich_top_asin_col33
kw_0048,portable jumper cables,SP广告词,5.关键词库,49,rich_top_asin_col33
kw_0049,auto battery jump starter portable,自然搜索词,5.关键词库,50,rich_top_asin_col33
kw_0049,auto battery jump starter portable,品牌广告词,5.关键词库,50,rich_top_asin_col33
kw_0049,auto battery jump starter portable,视频广告词,5.关键词库,50,rich_top_asin_col33
